Aarseth, Paul
Bias, Gabriel G.
Biatov, Konstantin
Biber, Douglas
Biber, Hanno
Bibok, Karoly
Bicici, Ergun
Bick, Eckhard
Bickel, Steffen
Bickmore, Timothy W.
Bicknell, Klinton
Bielický, Viktor
Biemann, Christian
Bien, Janusz Stanislaw
Biermann, Alan W.
Bierner, Gann
Biewald, Lukas
Biewald, Luke
Biewer, Axel
Bigham, Jeffrey
Bi, Jinbo
Bikel, Daniel M.
Bilac, Slaven
Bilange, Eric
Bilhaut, Frederik
Bilidas, Dimitrios
Bilidas, Dimitris
Bilinski, Eric
Biller, Ofer
Billing Jr., Floyd H.
Bills, Steven
Bilmes, Jeff A.
Bilotti, Matthew
Bily, Milan
Bindi, Remo
BingQuan, Liu
Binkowski, Ed
Binnick, Robert I.
Binot, Jean-Louis
Birbanescu, Adrian
Bird, Steven
Birnbaum, Lawrence
Biro, Tamas
Bisani, Maximilian
Bisiani, Roberto
Bisson, Gilles
Biswas, Pradipta
Bittar, Andr&#233
Bittencourt, Evandro
bius, Bernd
Bj�rne, Jari
Blache, Philippe
Black, Alan
Black, Alan W.
Blackburn, Patrick
Black, Ezra
Black, Ezra W.
Black, John E.
Black, Rolf
Black, William J.
Blackwood, Graeme
Blaheta, Don
Blair, Alan D.
Blanchard, Daniel
Blanchon, Herv
Blanchon, Herv�
Blanco, Eduardo
Blanc, Olivier
Blatak, Jan
Blatz, John
Blaylock, Nate
Blei, David
Blin, Laurent
Blitzer, John
Block, Hans Ulrich
Block, Russell
Bloedorn, Eric
Bloemberg, Wilfried
Blois, Marsden S.
Bloodgood, Michael
Bloom, Jonathan
Bloom, Kenneth
Blouin, Christian
Blower, Paul E.
Blume, Matthias
Blunsom, Philip
Bobadilla, Emilio
Boberg, Jorma
Bobrow, Daniel G.
Bobrow, Robert J.
Bobrow, Rusty
Boda, Peter Pal
Bode, Andreas
Bodenreider, Olivier
Bodirsky, Manuel
Bodmer, Franck
Bod, Rens
Boeffard, Olivier
Boella, Guido
Boersma, Paul
Bogers, Toine
Boguraev, Branimir K.
Boguslavsky, Igor
Bohm, Klemens
Bohnet, Bernd
Bohus, Dan
Boisen, Sean
Boisvert, Serge
Boitet, Christian
Bojar, Ond&#345
Bojar, Ondřej
Bolc, Leonard
Bollegala, Danushka
Bolohan, Orest
Bolshakov, Igor A.
Bonafonte, Antonio
Bonawitz, Keith
Boncz, Peter
Bond, Francis
Bonfante, Guillaume
Bonkowski, Christian
Bonnema, Remko
Bookman, Lawrence A.
Boonkwan, Prachya
Bopp, Stephan
Boras, Damir
Bordag, Stefan
Borgelt, Christian
Borghesi, Luigi
Borgida, Alexander T.
Borgo, Stefano
Borin, Lars
Borkovsky, Arkady
Borkowski, Casimir
Borkowsky, Arcady
Bork, Peer
Borneman, John
Borra, Allan
Borrajo, Daniel
Borthwick, Andrew
Bosch, Antal van den
Boschetti, Federico
Bosch, Louis Ten
Bosch, Peter
Bose, Dipankar
Bos, Edwin
Bos, Johan
Bosma, Wauter
Bos, M. J. W.
Bossaert, Walter
Botley, Simon
Bottcher, Martin
Bottner, Michael
Bott, Stefan
Bouaud, Jacques
Bouchard, Alexandre
Bouchard-C�t�, Alexandre
Bouchard, Lorne H.
Bouche, Olivier
Boudin, Florian
Boukobza, Ram
Boulianne, Gilles
Boulis, Constantinos
Boullier, Pierre
Boullosa, Jose R.
Bouma, Gosse
Bourbeau, Laurent
Bourdaillet, Julien
Bourgeois, Thomas C.
Bourigault, Didier
Bouzid, Ahmed
Bouzoubaa, Karim
Boves, Louis
Bowes, Chris
Boxwell, Stephen
Boyd-Graber, Jordan
Boye, Johan
Boykin, Stanley
Boyko, Igor
Bozsahin, Cem
Bozsahin, H. Cem
Brachman, Ronald J.
Bradford, James
Brajnov, Svjatoslav
Bramsen, Philip
Branavan, S. R. K.
Branavan, S.R.K.
Branco, Ant�nio H.
Branco, Antonio
Brandle, Stefan
Brandow, Ronald
Brandt-Pook, Hans
Brandyberry, David
Branting, L. Karl
Brants, Thorsten
Braschler, Martin
Braslavski, Pavel
Bratt, Harry
Bratus, Sergey
Braun, Anthony
Braun, Christian
Braun, Gunter
Braun, Stephan
Bray, Patrick
Brazdil, Pavel
Brecht, Werner
Breck, Eric
Bredenkamp, Andrew
Bree, D. S.
Breen, Jim
Bremer, John
Brenier, Jason M.
Brent, Michael R.
Bretan, Ivan
Brew, Chris
Brewster, Christopher
Briabrin, Victor
Bridle, John
Briffault, Xavier
Brill, David
Brill, Eric
Bringert, Bj&#246
Bringert, Bjorn
Brinkmann, Karl-Heinz
Briscoe, Ted
Broadhead, Matthew
Brockett, Chris
Brockmann, Carsten
Broda, Bartosz
Brodda, Benny
Brodersen, R.
Brody, Samuel
Broeder, Daan
Broekett, Chris
Broglio, John
Broker, Norbert
Bronisz, Didier
Bronnenberg, W. J.
Bronsart, Sebastien
Bronzan, Aaron
Brooke, Julian
Brooks, David J.
Brooks, James
Bross, Irwin D. J.
Broughton, Michael
Brown, Allen
Brown, David
Brown, Dunstan
Brown, Jonathan
Brown, Keith
Brown, Michael K.
Brown, Peter F.
Brown, Ralf D.
Bruce, Bertram C.
Brugman, Hennie
Brugman, Ivo
Brunet-Manquat, Francis
Brunner, Hans
Brunning, Jamie
Brutti, Alessio
Bryant, Barrett R.
Bryant, John
Bryant, Michael
Bryl, Anton
Brzoska, Christoph
Buchberger, Ernst
Buch-Kromann, Matthias
Buchsbaum, Adam L.
Buckeridge, Alan M.
Buckland, Michael
Buckley, Chris
Buckley, Mark
Buckwalter, Tim
Buczy�~Dski, Aleksander
Budanitsky, Alexander
Buitelaar, Paul
Bui, Trung
Bujas, Zeljko
Bu, Jiajun
Bukatin, Michael
Bukowski, Jedrzej
Bulatov, Vladimir
Bulyko, Ivan
Bundy, Alan
Bunescu, Razvan C.
Bungeroth, Jan
Bunker, Ross T.
Bunnell, H. Timothy
Bunsecu, Razvan
Bunt, Harry
Bunt, Harry C.
Bunting, Karl Dieter
Buntrock, James
Buo, Finn Dag
Burchardt, Aljoscha
Burden, Hakan
Burek, Gaston G.
Burfoot, Clint
Burge, John
Burger, John D.
Burger, John F.
Burges, Christopher
Burke, Carl
Burke, Michael
Burkert, Gerrit
Burkett, David
Burnett, Daniel C.
Burns, Gully
Burns, Ron
Burridge, Robert R.
Burstein, Mark H.
Busa, Roberto
Busby, George
Buscaldi, Davide
Buschmeier, Hendrik
Busemann, Stephan
Busser, Bertjan
Buttelmann, H. Willam
Butters, Jonathan
Butt, Tahir
Butzberger, John
Byrd, Roy J.
Byrne, Rod
Byrnes, John
Byrne, William J.
By, Tomas
Cabrero, David
Caelen, Jean
Cafarella, Michael J.
Cafferkey, Conor
Cai, Dongfeng
Caid, William R.
Cai, Junfu
Cailliau, Frederik
Cai, Qingsheng
Cai, Zhiqiang
Calcagno, Mike
Calder, Jonathan
Calderone, Basilio
Caldwell, David E.
Caldwell, Ted
Calera-Rubio, Jorge
Callaghan, Paul
Callan, James P.
Callan, James P.
Callan, Jamie
Callaway, Charles B.
Callison-Burch, Chris
Callmeier, Ulrich
ca, Marius
Camilleri, Carl
Caminero, Javier
Cammisa, Marco
Campanile, Enrico
Campbell, Alistair E.
Campbell, David
Campbell, Joseph
Campbell, Lyle
Campbell, Nick
Campbell, Richard
Campbell, W. N.
Campia, Paolo
Campr, Pavel
Candido, Arnaldo
Can, Dogan
Canisius, Sander
Cano, Antonio
Canon, Stephen
Cant, James
Cantwell Smith, Brian
Canzhong, Wu
Cao, Diego De
Cao, Jie
Cao, Yong-Gang
Cao, Yunbo
Cao, Zhenfu
Capman, Fran�ois
Cappelli, Amedeo
Cappe, Olivier
Capp�, Olivier
Carayannis, George
Carazo, Jos� Mar�a
Carbonell, Jaime G.
Carbone, Marco
Carbonetto, Peter
Carbonnell, Jaime G.
Cardenas, Carlos
Cardillo, Peter S.
Cardinal, Patrick
Carenini, Giuseppe
Carey, John
Carlberger, Johan
Carleton, Joel
Carl, Michael
Carlos, Cohan Sujay
Carlson, Adam
Carlson, Andrew
Carlson, Greg
Carlson, Rolf
Carmen, Marc
Carmona, Josep
Carpenter, Bob
Carrasco, Rafael C.
Carrera, Jordi
Carreras, Xavier
Carr, Nathan
Carroll, Glenn
Carroll, James
Carroll, Jeremy J.
Carroll, John
Carroll, John A.
Carroll, Steven
Carrrera, Jordi
Carter, Alan W.
Carter, David M.
Carterette, Ben
Carter, Richard
Carthy, Joe
Cartier, Emmanuel
Cartoni, Bruno
Cartwright, Timothy A.
Caruana, Joe
Caruana, Rich
Carvalho, Vitor R.
Casacuberta, Francisco
Casacuberta, Francisko
Casas, Bernardino
Caseiro, Diamantino
Caselli, Tommaso
Casper, Mark
Cassel, David
Cassidy, Steve
Castanet, Richard
Castano, Jose M.
Castelfranchi, Cristiano
Castelli, Eric
Castelli, Vittorio
Castells, Pablo
Castillo, Carlos
Castillo, Mauro
Castro, M. J.
Catarsi, M. N.
Cater, Arthur
Cattoni, Roldano
Caudal, Patrick
Cavallotto, Nico
Cavar, Damir
Cavazza, Marc
Cavedon, Lawrence
Cavestro, Bruno
Caywood, Matthew
Ceauşu, Alexandru
Cech, Claude G.
Cederberg, Scott
Celebi, Arda
Celli, Fabio
Cencioni, Roberto
Cepen, Stephan
Cerbah, Farid
Cercone, Nick
Cer, Daniel
Ceroni, Alessio
Cerri, Stefano A.
Cesar, Christian
Češka, Pavel
Cettolo, Mauro
Ceylan, Hakan
Chafe, Wallace L.
Chaitanya, Vineet
Cha, Jeongwon
Chakaravarthy, Venkatesan T.
Chakrabarti, Soumen
Chakravarthy, Anil S.
Chakravarthy, Venkatesan
Chali, Yllias
Chalup, Stephan
Chamberlain, Jon
Chambers, Nathanael
Chan, Chien-Lung
Chan, Daniel Ka-Leung
Chan, Dennis
Chandler, Brian J.
Chandrasekar, Raman
Chan, Erwin
Chanev, Atanas
Chang, Andrew
Chang, Baobao
Chang, Chao-Huang
Chang, Conrad
Chang, Jason S.
Chang, Jeong-Ho
Chang, Jing-Shin
Chang, Jonathan
Chang, Jyun-Sheng
Chang, Kai-min K.
Chang, Kai-Wei
Chan, G. K. K.
Chang, Ming-Wei
Chang, Moon-Soo
Changning, Huang
Chang, Shih-Fu
Chang, Yu-Chia
Chan, Hayward H.
Chan, Kin-Wah
Channarukul, Songsak
Chanod, Jean-Pierre
Chan, Samuel W. K.
Chan, Shiu Tong
Chan, Terence Y. W.
Chantree, Francis
Chan, Yu-Chung
Chao, Chih-Yu
Chao, Gerald
Chao, Wen-Han
Chapin, Paul G.
Chapman, David
Chappell, Alan
Charniak, Eugene
Charnois, Thierry
Charocopos, Nicholas
Charoenpornsawat, Paisarn
Chase, Greg
Cha, Seungho
Chatain, Pierre
Chatterjee, Niladri
Chatterji, Sanjay
Chatzichrisafis, Nikos
Chauch�, Jacques
Chaudhari, Upendra
Chaudhary, Mark
Chaudhuri, B. B.
Chaudhuri, Bidyut Baran
Chaudhuri, Sourish
Chaudiron, St�phane
Chaumartin, Francois-Regis
Chavez, Hector
Chee, Brant
Cheikes, Brant A.
Chelba, Ciprian
Chen, Aitao
Chen, Benfeng
Chen, Benjamin L.
Chen, Berlin
Chen, Bin
Chen, Bo
Chen, Boxing
Chen, Chao-Jan
Chen, Chaomei
Chen, Chen
Chen, Cheng-Der
Chen, Conrad
Chen, Erdong
Cheng, Chin-Chuan
Cheng, Hua
Cheng, Jian
Cheng, Pu-Jen
Cheng, Shun-Der
Cheng, Xiwen
Cheng, Xue-Qi
Cheng, Yuchang
Chen, Han-Bin
Chen, Harr
Chen, Hongbiao
Chen, Hsin-Hsi
Chen, Huey-Chyun
Chen, Jack
Chen, Jiajun
Chen, J. N.
Chen, John
Chen, Kaijiang
Chen, Kang
Chen, Keh-Jiann
Chen, Ken
Chen, Kuang-Hua
Chen, Kuang-Yu
Chen, Longbin
Chen, Mathis H.
Chen, Ming-Jun
Chen, Qing
Chen, Sheng-Yi
Chen, Shengyuan
Chen, Stanley F.
Chen, Tung-Tse
Chen, Wan
Chen, Wenliang
Chen, Xiao
Chen, Xiaohe
Chen, Xiaoming
Chen, XiXian
Chen, Yaodong
Chen, Yi-Jun
Chen, Yin
Chen, Yudong
Chen, Yuqiang
Chen, Yuquan
Chen, Zheng
Cherkassky, Vladimir L.
Cherry, Colin
Chester, Daniel
Cheung, Chi Shun
Cheung, Chi-Shun
Cheung, Lap
Cheung, Lawrence Y. L.
Cheung, Percy
Chevalier, Haakon
Chevelu, Jonathan
Che, Wanxiang
Chew, Peter
Chew, Peter A.
Chiang, David
Chiang, Tung-Hui
Chiarcos, Christian
Chia, Tee Kiah
Chibout, Karim
Chica, Sebastian
Chickering, Max
Chicoisne, Guillaume
Chi, David N.
Chien, Arnold J.
Chien, Lee-Feng
Chien, Y. T.
Chieu, Hai Leong
Chigier, Benjamin
Chikayama, Takashi
Chik, Francis C. Y.
Childers, D. G.
Chimeddorj, Odbayar
Chin, Andy C.
Chin, David N.
Chinnakotla, Manoj Kumar
Chinosi, Michele
Chisholm, Michael A.
Chitrao, Mahesh V.
Chitturi, Rahul
Chiu, Andy
Chiu, Chih-Ming
Chiu, Justin Liang-Te
Chiu, T. S.
Chizeck, Howard
Chi, Zhiyi
Chklovski, Timothy
Cho, Chun-Hung
Chodorow, Martin
Chodorow, Martin S.
Cho, Han-Cheol
Cho, Hyung Joon
Choi, Freddy Y. Y.
Choi, Jinho
Choi, John
Choi, Key-Sun
Choi, Sung-Kwon
Choi, William
Choi, Won Seug
Cholakov, Kostadin
Choma, Travis
Chomjakov, M. V.
Chong, Mickey W.C.
Choudhary, Alok
Choudhary, Hansraj
Choudhury, Monojit
Chou, George
Choukri, Khalid
Chou, Lin-Yi
Chouraqui, Eugene
Chou, Wen-Chi
Chou, Ya-Min
Chowdhury, Md. Faisal Mahbub
Chow, Edmond
Chow, Ka-Po
Chow, Yen-Lu
Christensen, Lee
Christodoulakis, Dimitris N.
Christoudias, C. Mario
Christoudias, Mario
Chrupala, Grzegorz
Chrzanowski, Michael J.
Chrz, Tomas
Chuang, Thomas C.
Chuang, Yi-Hsuan
Chua, Tat-Seng
Chu, David
Chung, Hoon
Chung, K. F. L.
Chung, Minhwa
Chun, Hong-Woo
Churcher, Gavin E.
